DATE,EMPUKQ,GBMT10UK,NGDPMPUKQ,RGDPMRPUKQ,SPPUKQ,euro_gdp_percapita,euro_Labour_productivity,eur_yield,euro_Credit_GDP,CPI_UK,Euro_outputgap,Unemplyment_EURO,FX,Bank_conc,longterm_interest,UK_house_index,deposit_rate,marginal_lending,refinacning _rate,Europe and UK Commercial Banking,Europe and UK Corporate Items & Others,Europe and UK Private Banking / Wealth Management,Europe and UK Retail Banking
1/7/04,28518,4.95,327320,0.19,2205.19,5260,96.512,2.29261,136.5,87.28184771,-0.37075,9.28575,1.82,59.58696,4.2,58.15666667,1,3,2,146341466.9,6365683.19,189151272.1,77516119.22
1/10/04,28673,4.62,331772,0.6,2345.84,5580,96.633,2.20696,138.2,87.79132138,-0.262,9.342,1.87,68.17005,3.85,57.68666667,1,3,2,1048807153,68249679.92,138385388,223713579.8
1/1/05,28789,4.59,335287,0.58,2474.58,5250,96.725,2.21475,138.8,88.3314457,-0.25,9.30225,1.89,63.74147,3.653333333,57.50666667,1,3,2,242149104.5,21515883.18,93443371.66,122889093.9
1/4/05,28802,4.4,343740,1.08,2479.04,5500,97.054,2.06877,141.3,88.72691389,-0.238,9.2625,1.86,59.31289,3.39,58.49666667,1,3,2,453222728.2,21419446.91,46513419.56,89522846.28
1/7/05,28928,4.24,346479,1.09,2660.83,5460,97.663,2.08593,141.6,89.34553379,-0.226,9.22275,1.78,54.88431,3.25,58.97666667,1,3,2,396014325.1,15930955.64,74744448.51,241308438.9
1/10/05,28880,4.25,353951,1.36,2734.37,5800,97.795,2.4788,142.7,89.75072048,-0.214,9.183,1.75,50.45573,3.41,58.68333333,1.070652174,3.070652174,2.070652174,648882995.9,10175492.53,126774342.7,209893743
1/1/06,29048,4.13,358099,0.33,2961.21,5530,98.246,2.77448,145.1,90.24449503,0.18175,9.006,1.75,50.920835,3.55,59.60666667,1.316666667,3.316666667,2.316666667,250241081.5,15883116.02,44185004.29,177904923.5
1/4/06,29106,4.55,362278,0.23,2985.12,5780,98.819,3.11879,146.6,90.86909555,0.5775,8.829,1.83,51.38594,4.03,61.6,1.543956044,3.543956044,2.543956044,172096462.2,8300279.92,66482439.1,219278135
1/7/06,29183,4.54,365835,0.14,2985.84,5750,98.981,3.41505,145.9,91.5991044,0.97325,8.652,1.87,51.851045,3.97,63.55666667,1.894021739,3.894021739,2.894021739,243635771.4,12572034.86,54306792.21,140110079.4
1/10/06,29214,4.5,369432,0.36,3160.71,6140,99.645,3.59549,146.5,92.20389413,1.369,8.475,1.92,52.31615,3.85,64.74333333,2.274456522,4.274456522,3.274456522,1564618002,12153237.92,101894260.1,205701198.6
1/1/07,29194,4.76,375722,1.01,3250.52,5870,99.723,3.8311,147.,92.74439224,1.7505,8.2605,1.95,54.0772625,4.09,67.18333333,2.55,4.55,3.55,459024598.5,13853689.16,59639966.92,197924947.2
1/4/07,29322,5.09,379527,0.74,3390.85,6110,99.914,4.11997,149.,93.20116173,2.132,8.046,1.99,55.838375,4.42,70.12333333,2.799450549,4.799450549,3.799450549,461681351,11617347.74,148992853.1,207248807.8
1/7/07,29420,5.08,385302,0.76,3283.55,6080,99.918,4.10646,149.1,93.41683768,2.5135,7.8315,2.02,57.5994875,4.473333333,73.79,3,5,4,436123902.6,33855710.38,126035540.4,136662073
1/10/07,29576,4.74,390339,0.75,3299.75,6490,100.305,3.93532,152.5,94.30570663,2.895,7.617,2.04,59.3606,4.353333333,73.99,3,5,4,701921849.2,17007290.55,296656126.2,744461816.7
1/1/08,29684,4.51,394836,0.15,3000.04,6130,100.352,3.59934,153.4,95.07496328,2.74425,7.6295,1.98,60.2747475,4.15,73.46666667,3,5,4,898366996.3,288375220.7,216598451.4,507171632.1
1/4/08,29722,4.87,393634,-0.65,3049.34,6400,100.068,4.08683,155.,96.31108171,2.5935,7.642,1.97,61.188895,4.516666667,72.78333333,3,5,4,446882722.9,45552192.6,173445442.7,556822265.2
1/7/08,29580,4.75,390964,-1.69,2725.23,6300,99.654,4.22317,156.3,97.58682171,2.44275,7.6545,1.89,62.1030425,4.58,70.20333333,3.22826087,5.22826087,4.22826087,527267596.7,25360014.46,142566781.8,540281877.2
1/10/08,29528,4.19,384818,-2.26,2134.04,6440,98.083,2.54001,157.2,97.791284,2.292,7.667,1.57,63.01719,4.093333333,64.5,2.793478261,3.880434783,3.375,1376017748,33215078.38,312491004.6,9045282690
1/1/09,29366,3.62,378609,-1.63,2030.87,5790,95.946,1.17763,159.8,97.84996879,0.999,8.169,1.43,61.5248,3.94,62.07666667,1.105555556,2.883333333,1.994444444,1401713581,133241536.2,116168623.4,1140945628
1/4/09,29087,3.67,377963,-0.23,2176.7,5980,96.503,0.95705,162.1,98.26823807,-0.294,8.671,1.55,60.03241,4.023333333,61.97,0.269230769,2,1.134615385,1059522751,31079078.65,183367046.7,303678860.9
1/7/09,29069,3.83,380205,0.07,2419.52,5980,97.448,0.74685,163.4,98.93059122,-1.587,9.173,1.64,58.54002,3.84,65.31666667,0.25,1.75,1,791902957.6,23316095.26,124826178.8,348953526.9
1/10/09,29102,3.85,382682,0.41,2679.85,6310,98.22,0.7859,164.7,99.3944627,-2.88,9.675,1.63,57.04763,3.716666667,66.67,0.25,1.75,1,1918690152,88033429.07,641059852.8,4110626021
1/1/10,29013,4.21,387526,0.55,2774.25,5920,98.912,0.64625,164.7,100.1125103,-2.55925,9.81675,1.56,56.98981,3.726666667,69.42,0.25,1.75,1,781893656.3,44376012.91,73828956.88,497675779
1/4/10,29192,3.96,393419,1.01,2762.49,6210,99.825,0.46477,165.1,100.7539313,-2.2385,9.9585,1.49,56.93199,3.616666667,70.19,0.25,1.75,1,727769539.5,97266240.96,237530236.3,543741516.7
1/7/10,29385,3.39,394272,0.56,2744.8,6210,100.369,0.51988,163.9,101.2753662,-1.91775,10.10025,1.55,56.87417,3.45,72.28,0.25,1.75,1,556857769.3,660242822,97161762.36,309505310.8
1/10/10,29324,3.44,397222,0.12,2980.52,6550,100.893,0.73904,164.6,102.1182592,-1.597,10.242,1.58,56.81635,3.753333333,70.64333333,0.25,1.75,1,787418948.9,85999687.37,164985149.9,1237607878
1/1/11,29441,3.89,406938,0.56,3087.62,6210,101.728,1.01401,163.,103.6059373,-1.3885,10.25225,1.6,56.9593025,4.28,71.18666667,0.25,1.75,1,694409345.5,122983655.9,167416368.2,331335113.4
1/4/11,29447,3.67,404307,0.07,3077.74,6430,101.797,1.36213,163.4,104.5519958,-1.18,10.2625,1.63,57.102255,4.446666667,71.54333333,0.467032967,1.967032967,1.217032967,462688944.5,154629992.2,142183246.1,401571641.7
1/7/11,29277,2.95,406699,0.43,2842.25,6390,102.13,0.81791,162.9,105.4019908,-0.9715,10.27275,1.61,57.2452075,4.22,73.32,0.717391304,2.217391304,1.467391304,685189684.9,68382427.77,137444395.7,25288306619
1/10/11,29340,2.4,410330,0.25,2796.18,6630,101.851,0.43047,165.5,106.2101214,-0.763,10.283,1.57,57.38816,4.443333333,72.44666667,0.557065217,2.057065217,1.307065217,1034309888,151440880.4,204401357.8,1522684371
1/1/12,29460,2.27,412672,0.44,3009.34,6250,101.621,0.17497,166.2,106.7902411,-1.1505,10.57475,1.57,56.767045,4.233333333,72.57666667,0.25,1.75,1,517092505.4,64209600.16,105434809.6,691019139.5
1/4/12,29663,2,413777,-0.09,2886.1,6420,101.417,0.09456,167.4,107.2271998,-1.538,10.8665,1.58,56.14593,4.096666667,75.29333333,0.25,1.75,1,3449918262,804561091.8,128278098.2,735726431.7
1/7/12,29760,1.73,423666,1.14,2988.03,6420,101.471,-0.04283,167.4,107.7777902,-1.9255,11.15825,1.58,55.524815,3.816666667,76.74,0.027173913,1.527173913,0.777173913,3258288781,9325427.25,228017190.9,536160849.5
1/10/12,29903,1.84,424929,-0.23,3056.56,6670,101.265,-0.02281,165.7,108.7530043,-2.313,11.45,1.61,54.9037,3.276666667,77.16333333,0,1.5,0.75,3052803410,49137566.9,188565723.2,841134363.6
1/1/13,29839,2.13,429001,0.63,3314.56,6240,101.246,0.05043,166.5,109.4329255,-2.536,11.6105,1.55,54.083405,3.026666667,77.54666667,0,1.5,0.75,750058867.7,107770451.3,225492858,699835227.9
1/4/13,29945,2.07,431909,0.52,3394.69,6500,101.759,0.03299,166.,109.8358695,-2.759,11.771,1.54,53.26311,2.8,80.07666667,0,1.203296703,0.601648352,1213882696,254964302.8,100671878.3,623532484.4
1/7/13,30108,2.76,438341,0.76,3470.21,6500,102.048,0.06761,165.4,110.3644063,-2.982,11.9315,1.55,52.442815,3.13,83.50666667,0,1,0.5,995121997.4,76067071.74,121900978.2,445902094.5
1/10/13,30285,2.88,440312,0.49,3527.04,6770,102.149,0.07296,163.9,110.8073457,-3.205,12.092,1.62,51.62252,2.96,85.70666667,0,0.866847826,0.366847826,590272394.2,186203220.1,420064529.3,603432100
1/1/14,30534,2.91,446657,0.85,3588.59,6400,102.293,0.09103,165.,111.2925231,-3.12325,11.98975,1.66,52.50241,2.65,88.96,0,0.75,0.25,8114048875,2674332432,125468501.7,519865777.9
1/4/14,30718,2.8,454849,0.93,3615.01,6620,102.346,0.05591,165.4,111.6382775,-3.0415,11.8875,1.68,53.3823,2.216666667,94.76,-0.021978022,0.673076923,0.228021978,1670879048,69544101.8,299235454.4,1529410436
1/7/14,30835,2.62,459678,0.81,3602.1,6640,102.546,-0.04675,165.1,111.9507646,-2.95975,11.78525,1.67,54.26219,1.793333333,99.88333333,-0.122826087,0.377173913,0.127173913,2847077193,216433178.7,131751522,549341672.5
1/10/14,30940,2.13,461296,0.83,3494.98,6920,102.795,-0.07416,165.1,111.9578666,-2.878,11.683,1.58,55.14208,1.493333333,99.78666667,-0.2,0.3,0.05,1316549953,51904895.03,166622894.8,927215708.6
1/1/15,31169,1.7,462745,0.25,3657.46,6590,103.504,-0.19105,170.5,111.7717199,-2.733,11.4935,1.51,55.84096,1.02,100.3133333,-0.2,0.3,0.05,670764000.2,77264712.67,137650943.1,1025328309
1/4/15,31144,1.98,469585,0.48,3758.04,6850,103.708,-0.25634,169.2,112.0494447,-2.588,11.304,1.53,56.53984,1.28,103.08,-0.2,0.3,0.05,1402165810,27534349.92,86202762.77,1094794617
1/7/15,31339,1.99,469289,0.27,3505.44,6880,103.773,-0.28145,168.7,112.3077326,-2.443,11.1145,1.55,57.23872,1.373333333,108.1933333,-0.2,0.3,0.05,394430711.3,278386734.6,99348604.13,584958487.8
1/10/15,31534,1.91,471095,0.69,3444.44,7190,103.914,-0.34054,167.2,112.3966942,-2.298,10.925,1.52,57.9376,1.203333333,110.5466667,-0.225,0.3,0.05,824005149.6,109010825.4,290888579.5,2370070930
